0 	 0.000000000000000 1.210000000000000 1.300000000000000  0.500000000000000 -0.149510821908513  0.722311192992936 -0.696577721223315 0.224043970258322 1.121613089196776 1.684528541508282 0.593637908387489 1.270029623544683 2.585838888073794
1 	 0.000488281250000 1.210000000000000 1.300000000000000  0.500824571320074 -0.148192152469580  0.726884672919823 -0.692197099314644 0.227911482993556 1.112223285867954 1.684528541508282 0.593637908387489 1.266959177002073 2.584898026411767
2 	 0.000976562500000 1.210000000000000 1.300000000000000  0.501649028739152 -0.146876363698359  0.731484082171308 -0.687851149772685 0.231824304681619 1.102904536043104 1.684528541508282 0.593637908387489 1.263886835822771 2.583948566468667
3 	 0.001464843750000 1.210000000000000 1.300000000000000  0.502473258557420 -0.145563386980051  0.736104176110560 -0.683544442058990 0.235779112130061 1.093666156595150 1.684528541508282 0.593637908387489 1.260815180296457 2.582991303776643
4 	 0.001953125000000 1.210000000000000 1.300000000000000  0.503297147477393 -0.144253155423019  0.740739584905537 -0.679281345980758 0.239772497368307 1.084517094022317 1.684528541508282 0.593637908387489 1.257746677483878 2.582027071765495
5 	 0.002441406250000 1.210000000000000 1.300000000000000  0.504120582804977 -0.142945603959890  0.745384837696322 -0.675066016062462 0.243800977783473 1.075465895554925 1.684528541508282 0.593637908387489 1.254683678503497 2.581056739960608
6 	 0.002929687500000 1.210000000000000 1.300000000000000  0.504943452650382 -0.141640669429075  0.750034387958903 -0.670902377704913 0.247861006891172 1.066520683276673 1.684528541508282 0.593637908387489 1.251628416704056 2.580081211806645
7 	 0.003417968750000 1.210000000000000 1.300000000000000  0.505765646128741 -0.140338290637114  0.754682639887738 -0.666794115175701 0.251948985711489 1.057689131304762 1.684528541508282 0.593637908387489 1.248583006660694 2.579101422106973
8 	 0.003906250000000 1.210000000000000 1.300000000000000  0.506587053560292 -0.139038408402361  0.759323975600425 -0.662744661458483 0.256061274708296 1.048978446046734 1.684528541508282 0.593637908387489 1.245549443929747 2.578118334072865
9 	 0.004394531250000 1.210000000000000 1.300000000000000  0.507407566669846 -0.137740965580654  0.763952782949372 -0.658757189974886 0.260194206237401 1.040395349531057 1.684528541508282 0.593637908387489 1.242529605496038 2.577132935981056
10 	 0.004882812500000 1.210000000000000 1.300000000000000  0.508227078785275 -0.136445907073694  0.768563483707324 -0.654834608179732 0.264344097435918 1.031946065789771 1.684528541508282 0.593637908387489 1.239525250846229 2.576146237443469
11 	 0.005371093750000 1.210000000000000 1.300000000000000  0.509045485034562 -0.135153179820992  0.773150561880677 -0.650979553016205 0.268507263473468 1.023636310252203 1.684528541508282 0.593637908387489 1.236538023602342 2.575159265298511
12 	 0.005859375000000 1.210000000000000 1.300000000000000  0.509862682540986 -0.133862732776310  0.777708591889390 -0.647194388207812 0.272680031072922 1.015471282097006 1.684528541508282 0.593637908387489 1.233569453650941 2.574173059139325
13 	 0.006347656250000 1.210000000000000 1.300000000000000  0.510678570615820 -0.132574516869596  0.782232266342427 -0.643481203352858 0.276858752196993 1.007455659497207 1.684528541508282 0.593637908387489 1.230620959705646 2.573188666500808
14 	 0.006835937500000 1.210000000000000 1.300000000000000  0.511493050947916 -0.131288484955514  0.786716423130892 -0.639841814777070 0.281039817787037 0.999593597682106 1.684528541508282 0.593637908387489 1.227693852242884 2.572207137733636
15 	 0.007324218750000 1.210000000000000 1.300000000000000  0.512306027789393 -0.130004591749710  0.791156071557026 -0.636277768091227 0.285219671431009 0.991888729732221 1.684528541508282 0.593637908387489 1.224789336754073 2.571229520600191
16 	 0.007812500000000 1.210000000000000 1.300000000000000  0.513117408136608 -0.128722793754007  0.795546417215159 -0.632790342393828 0.289394822829539 0.984344170018894 1.684528541508282 0.593637908387489 1.221908517260500 2.570256854633742
17 	 0.008300781250000 1.210000000000000 1.300000000000000  0.513927101905506 -0.127443049171802  0.799882885348157 -0.629380556048656 0.293561860924685 0.976962520190524 1.684528541508282 0.593637908387489 1.219052400040667 2.569290165308418
18 	 0.008789062500000 1.210000000000000 1.300000000000000  0.514735022100380 -0.126165317814926  0.804161142407114 -0.626049173963259 0.297717466550973 0.969745877607914 1.684528541508282 0.593637908387489 1.216221897523530 2.568330458073370
19 	 0.009277343750000 1.210000000000000 1.300000000000000  0.515541084975011 -0.124889561003298  0.808377115558774 -0.622796716284701 0.301858424468564 0.962695846122030 1.684528541508282 0.593637908387489 1.213417832304741 2.567378712309628
20 	 0.009765625000000 1.210000000000000 1.300000000000000  0.516345210185151 -0.123615741458677  0.812527009898612 -0.619623468425849 0.305981634638326 0.955813549088200 1.684528541508282 0.593637908387489 1.210640941246666 2.566435875272541
21 	 0.010253906250000 1.210000000000000 1.300000000000000  0.517147320931280 -0.122343823193874  0.816607323153102 -0.616529492326983 0.310084122603875 0.949099644502558 1.684528541508282 0.593637908387489 1.207891879626577 2.565502856086136
22 	 0.010742187500000 1.210000000000000 1.300000000000000  0.517947344090581 -0.121073771398714  0.820614857677695 -0.613514638854352 0.314163048850934 0.942554342145523 1.684528541508282 0.593637908387489 1.205171225301046 2.564580519858035
23 	 0.011230468750000 1.210000000000000 1.300000000000000  0.518745210337080 -0.119805552324075  0.824546729590254 -0.610578561230297 0.318215717024661 0.936177422609170 1.684528541508282 0.593637908387489 1.202479482857912 2.563669681984635
24 	 0.011718750000000 1.210000000000000 1.300000000000000  0.519540854248992 -0.118539133165261  0.828400374910478 -0.607720729386978 0.322239580896072 0.929968258083109 1.684528541508282 0.593637908387489 1.199817087730555 2.562771102716042
25 	 0.012207031250000 1.210000000000000 1.300000000000000  0.520334214402313 -0.117274481945954  0.832173552618011 -0.604940445128092 0.326232249984645 0.923925834762109 1.684528541508282 0.593637908387489 1.197184410252307 2.561885482048602
26 	 0.012695312500000 1.210000000000000 1.300000000000000  0.521125233449848 -0.116011567403896  0.835864344576324 -0.602236857982701 0.330191493758455 0.918048776737393 1.684528541508282 0.593637908387489 1.194581759631771 2.561013455009879
27 	 0.013183593750000 1.210000000000000 1.300000000000000  0.521913858184932 -0.114750358879424  0.839471152316828 -0.599608981627865 0.334115244353521 0.912335371219750 1.684528541508282 0.593637908387489 1.192009387832635 2.560155587396431
28 	 0.013671875000000 1.210000000000000 1.300000000000000  0.522700039589230 -0.113490826207885  0.842992690717587 -0.597055710756106 0.338001597772790 0.906783594938142 1.684528541508282 0.593637908387489 1.189467493344074 2.559312372019133
29 	 0.014160156250000 1.210000000000000 1.300000000000000  0.523483732864156 -0.112232939616865  0.846427978656401 -0.594575838259640 0.341848813546988 0.901391141546089 1.684528541508282 0.593637908387489 1.186956224830316 2.558484225503715
30 	 0.014648437500000 1.210000000000000 1.300000000000000  0.524264897445575 -0.110976669629077  0.849776326761262 -0.592168072601425 0.345655312861755 0.896155449859428 1.684528541508282 0.593637908387489 1.184475684650028 2.557671485686293
31 	 0.015136718750000 1.210000000000000 1.300000000000000  0.525043497001637 -0.109721986971666  0.853037322422584 -0.589831055242106 0.349419675177627 0.891073732740488 1.684528541508282 0.593637908387489 1.182025932238318 2.556874409634771
32 	 0.015625000000000 1.210000000000000 1.300000000000000  0.525819499413742 -0.108468862492541  0.856210812273129 -0.587563377990369 0.353140633392649 0.886143006433499 1.684528541508282 0.593637908387489 1.179606987345911 2.556093172317471
33 	 0.016113281250000 1.210000000000000 1.300000000000000  0.526592876740791 -0.107217267084274  0.859296882376993 -0.585363600145322 0.356817067618701 0.881360120149471 1.684528541508282 0.593637908387489 1.177218833131746 2.555327865930387
